school_name,location,size,board_affiliation,city_tier,school_type,founded_year
St. Mary's Convent High School,Mumbai,1850,ICSE,Tier 1,Private,1962
Bombay Scottish School,Mumbai,2100,ICSE,Tier 1,Private,1958
Dhirubhai Ambani International School,Mumbai,1200,IB,Tier 1,Private,2003
Podar International School,Mumbai,1450,IGCSE,Tier 1,Private,2010
Rajhans Vidyalaya,Mumbai,1650,CBSE,Tier 1,Private,1975
Kendriya Vidyalaya IIT Powai,Mumbai,2200,CBSE,Tier 1,Government,1964
The Mother's International School,Delhi,1800,CBSE,Tier 1,Private,1956
Delhi Public School R.K. Puram,Delhi,2500,CBSE,Tier 1,Private,1972
Springdales School,Delhi,1900,CBSE,Tier 1,Private,1955
Sardar Patel Vidyalaya,Delhi,850,CBSE,Tier 1,Government,1958
The British School,Delhi,720,IGCSE,Tier 1,Private,1963
St. Columba's School,Delhi,1450,ICSE,Tier 1,Private,1950
National Public School Indiranagar,Bangalore,1450,CBSE,Tier 1,Private,1959
Inventure Academy,Bangalore,1100,ICSE,Tier 1,Private,2005
Vidya Niketan Public School,Bangalore,1300,CBSE,Tier 1,Private,1967
Canadian International School,Bangalore,650,IB,Tier 1,Private,1996
Kendriya Vidyalaya ASC Centre,Bangalore,2100,CBSE,Tier 1,Government,1961
Bishop Cotton Girls' School,Bangalore,1750,ICSE,Tier 1,Private,1957
La Martiniere Girls' Higher Secondary School,Chennai,1600,ICSE,Tier 1,Private,1950
Vidya Mandir Senior Secondary School,Chennai,1950,CBSE,Tier 1,Private,1972
PSBB Senior Secondary School,Chennai,2200,CBSE,Tier 1,Private,1958
The Hindu Senior Secondary School,Chennai,750,CBSE,Tier 1,Government,1978
American International School Chennai,Chennai,480,IB,Tier 1,Private,1997
Chettinad Vidyashram,Chennai,1200,CBSE,Tier 1,Private,1986
Oakridge International School,Hyderabad,1050,IB,Tier 1,Private,2001
Hyderabad Public School Begumpet,Hyderabad,2300,ICSE,Tier 1,Private,1951
Bharati Vidya Bhavan's Public School,Hyderabad,1720,CBSE,Tier 1,Private,1970
Kendriya Vidyalaya Uppal,Hyderabad,1980,CBSE,Tier 1,Government,1968
Delhi Public School Nacharam,Hyderabad,2100,CBSE,Tier 1,Private,2003
Chirec International School,Hyderabad,1580,IGCSE,Tier 1,Private,1989
St. Mary's School Pune Camp,Pune,1350,ICSE,Tier 2,Private,1966
Vidya Valley School,Pune,920,CBSE,Tier 2,Private,2000
The Orbis School,Pune,780,CBSE,Tier 2,Private,2010
Army Public School Kirkee,Pune,1650,CBSE,Tier 2,Government,1982
Maharani Gayatri Devi Girls' Public School,Jaipur,1450,CBSE,Tier 2,Private,1952
Seedling Modern Public School,Jaipur,850,CBSE,Tier 2,Private,1995
St. Xavier's School C-Scheme,Jaipur,1200,ICSE,Tier 2,Private,1969
Vidya Bhawan Senior Secondary School,Jaipur,1100,CBSE,Tier 2,Private,1955
Vidya Vikasini Matric Higher Secondary School,Coimbatore,1050,CBSE,Tier 2,Private,1964
The Lycee Montessori International School,Coimbatore,420,IB,Tier 2,Private,2012
GRD Matriculation Higher Secondary School,Coimbatore,1400,CBSE,Tier 2,Private,1977
Kongu Vellalar Matriculation School,Coimbatore,1280,CBSE,Tier 2,Private,1983
Loreto Convent Hazratganj,Lucknow,980,ICSE,Tier 2,Private,1953
City Montessori School Gomti Nagar,Lucknow,2400,ICSE,Tier 2,Private,1959
La Martiniere College,Lucknow,1900,ICSE,Tier 2,Private,1950
Kendriya Vidyalaya Aliganj,Lucknow,1750,CBSE,Tier 2,Government,1965
St. John's High School,Chandigarh,1150,ICSE,Tier 2,Private,1959
Delhi Public School Chandigarh,Chandigarh,2000,CBSE,Tier 2,Private,2004
Government Model Senior Secondary School Sector 16,Chandigarh,1800,CBSE,Tier 2,Government,1954
Strawberry Fields High School,Chandigarh,680,IGCSE,Tier 2,Private,2006
